372,SHENG SIONG @ ANCHORVALE,2.Retailer E-bin,"338 ANCHORVALECRESCENT, #01-11",540338,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.399039379,103.8
896423",,,

373,SHENG SIONG @ BOON KENG,2. Retailer E-bin,"11 UPPER BOON KENG ROAD,#01-901",380011,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.314035891,103.8
704955",,,

374,SHENG SIONG @ BUKIT BATOKWEST,2.Retailer E-bin,"440 BUKIT BATOKWEST AVE8,#01-10",650440,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.355723081,103.7
393031",,,

375,SHENG SIONG @ CIRCUIT ROAD,2. Retailer E-bin,"18B CIRCUIT ROAD,#01-260",372018,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.329182899,103.8
882572",,,

376,SHENG SIONG @ DAWSON,2. Retailer E-bin,"85 DAWSON ROAD,#01-01",141085,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.295319663,103.8
097586",,,

377,SHENG SIONG @ EDGEDALEPLAINS,2. Retailer E-bin,"660A EDGEDALE PLAINS, #01-01",821660,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.402542547,103.9
163832",,,

378,SHENG SIONG @ FERNVALELINK,2. Retailer E-bin,"417 FERNVALE LINK, #01-11",790417,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.391762493,103.8
801514",,,

379,SHENG SIONG @ FERNVALEST,2. Retailer E-bin,"473 FERVALESTREET,#01-06",790473,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.397673381,103.8
816113",,,

380,SHENG SIONG @ JUNCTION 10,2. Retailer E-bin,"1 WOODLANDSROAD,JUNCTION 10, #01-07",677899,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.38018163,103.76
04193",,,

381,SHENG SIONG @ JUNCTION 9,2.Retailer E-bin,"18 YISHUN AVENUE 9,JUNCTION NINE,#02-06",768897,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.43326531,103.84
14824",,,

382,SHENG SIONG @ MARSILING DRIVE 202,2.Retailer E-bin,"202 MARSILING DRIVE,#01-138",730202,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.443151211,103.7
751648",,,

383,SHENG SIONG @ NEWWORLD CENTRE,2.Retailer E-bin,"1 JALAN BERSEH,#B1-02/22",209037,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.308045755,103.8
572457",,,

384,SHENG SIONG @ PASIR RIS,2. Retailer E-bin,"527D PASIR RIS STREET 51,#01-01",514527,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.369576788,103.9
479931",,,

385,SHENG SIONG @ POTONG PASIR COMMUNITY CLUB,2. Retailer E-bin,"6 POTONG PASIR AVENUE 2,LEVEL 1",358361,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.332399899,103.8
669861",,,

386,SHENG SIONG @ SEGAR,2. Retailer E-bin,"547 SEGAR ROAD, #01-06",670547,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.388240217,103.7
695754",,,

387,SHENG SIONG @ SUMANG LINK,2.Retailer E-bin,"312A SUMANG LINK, #01-04",821312,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.410908746,103.9
002513",,,

388,SHENG SIONG @ TAMPINESST 86 872C,2.Retailer E-bin,872C TAMPINES STREET 86,523872,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.355250052,103.9
317459",,,

389,7-ELEVEN @ CITY HALL MRT STATION,2.Retailer E-bin,"150 NORTH BRIDGEROAD,CITY HALL MRT STATION,#B1-01",179100,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.293105174,103.8
520125",,,

390,COLD STORAGE / JASONS@ MARINA BAY LINK MALL,2. Retailer E-bin,"8A MARINABOULEVARD, #B2-44",18984,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.280388004,103.8
542228",,,

391,COLD STORAGE @ ALTEZ(ICON VILLAGE),2. Retailer E-bin,"16 ENGGOR STREET, #01-05",79717,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.274454012,103.8
443123",,,

392,COLD STORAGE @ CAUSEWAY POINT,2.Retailer E-bin,"1 WOODLANDSSQUARE,#B1-31",738099,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.436201139,103.7
857027",,,

393,COLD STORAGE @ CLAYMORE CONNECT ORCHARDHOTEL,2.Retailer E-bin,"442 ORCHARD ROAD,#B1-01",238879,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.307658689,103.8
289663",,,

394,COLD STORAGE @ CLEMENTI ARCADE,2.Retailer E-bin,"41 SUNSET WAY, #01-01A",597071,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.323406206,103.7
675614",,,

395,COLD STORAGE @ EAST VILLAGE,2. Retailer E-bin,"430 UPPER CHANGI ROAD,#01-47",487048,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.331988755,103.9
45926",,,

396,COLD STORAGE @ GREENWICH VILLAGE,2.Retailer E-bin,"1 SELETAR ROAD,#01-11",807011,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.387801893,103.8
692956",,,

397,COLD STORAGE @ HARBOURFRONT CENTRE,2. Retailer E-bin,"1 MARITIME SQUARE, #01-47",99254,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.26401148,103.82
01147",,,

398,COLD STORAGE @ HEARTLAND MALL - KOVAN,2.Retailer E-bin,"205 HOUGANG STREET 21, #01-133",530205,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.359470263,103.8
851313",,,

399,COLD STORAGE @ HOLLAND SHOPPING CENTRE,2.Retailer E-bin,"211 HOLLAND AVENUE, #01-02",278967,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.31015705,103.79
54037",,,

400,COLD STORAGE @ NEX,2.Retailer E-bin,"23 SERANGOON CENTRAL,#B2-44",556083,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.350070038,103.8
729398",,,

401,COLD STORAGE @ NORTHPOINT CITY,2.Retailer E-bin,"930 YISHUN AVE 2,#B1-06",769098,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.429745523,103.8
35658",,,

402,COLD STORAGE @ SIME DARBY,2.Retailer E-bin,"896 DUNEARN ROAD,#02-01",589472,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.336866817,103.7
839151",,,

403,COLD STORAGE @ TAKASHIMAYA NGEE ANN CITY,2.Retailer E-bin,"391A ORCHARD ROAD,#B2-01, NEAR CASHIER",238872,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.303406501,103.8
341854",,,

404,COLD STORAGE @ TAMPINES 1,2. Retailer E-bin,"10 TAMPINESCENTRAL 1,#B1-01",529536,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.354211999,103.9
450459",,,

405,COLD STORAGE @ THERAIL MALL,2. Retailer E-bin,464-484 UPPER BUKIT TIMAH ROAD,678077,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.360187521,103.7
675806",,,

406,COLD STORAGE @ THESHOPPES AT MARINA BAY SANDS,2.Retailer E-bin,"2 BAYFRONT AVENUE,#01-29",18972,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.284577753,103.8
601892",,,


407,COLD STORAGE @ WEST MALL,2. Retailer E-bin,"1 BUKIT BATOKCENTRAL LINK, #B1-01",658713,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.349751625,103.7
49472",,,

408,DECATHLON@ BEDOK,2. Retailer E-bin,"750A CHAI CHEE ROAD, #01-01",469001,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.322916273,103.9
223941",,,

409,DECATHLON@ CITY SQUARE MALL,2. Retailer E-bin,"180 KITCHENER RD,CITY SQUARE MALL,#02-03",208539,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.311477424,103.8
564206",,,

410,DECATHLON@ JOO KOON,2. Retailer E-bin,"1 JOO KOON CIRCLE, FAIRPRICEHUB,#02-21",629117,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.327252847,103.6
783218",,,

411,DECATHLON@ NORTHSHOREPLAZA,2.Retailer E-bin,"407 NORTHSHORE DRIVE, #01-27",820407,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.416800736,103.9
021443",,,

412,DECATHLON@ STADIUM,2.Retailer E-bin,230 STADIUM BOULEVARD,397799,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.304241873,103.8
823882",,,

413,DECATHLON@ THECENTREPOINT,2.Retailer E-bin,"176 ORCHARD ROAD,THE CENTREPOINT, #01-14",238843,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.30146257,103.83
97493",,,

414,FAIRPRICE @ 107 TAMPINES ST 11,2.Retailer E-bin,"107 TAMPINESST 11,#01-353/355/357/359",521107,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.348322573,103.9
481522",,,

415,FAIRPRICE @ 12 ALEXANDRA VIEW,2. Retailer E-bin,"12 ALEXANDRA VIEW,#01-18",158736,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.290312906,103.8
170009",,,

416,FAIRPRICE @ 152B SERANGOONAVE4,2.Retailer E-bin,"152B SERANGOON NORTH AVE 1, #01-384",552152,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.369629877,103.8
725135",,,

417,FAIRPRICE @ 20 LENGKOK BAHRU,2. Retailer E-bin,"20 LENGKOKBAHRU,#01-13",159053,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.286486415,103.8
142635",,,

418,FAIRPRICE @ 253 SERANGOON CENTRAL DR,2.Retailer E-bin,"253 SERANGOON CENTRAL DR,#01-241",550253,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.3541651,103.870
6691",,,

419,FAIRPRICE @ 279 BISHAN ST 24,2.Retailer E-bin,"279 BISHAN ST 24,#01-62/64",570279,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.357168396,103.8
438329",,,

420,FAIRPRICE @ 29AGHIM MOH LINK,2.Retailer E-bin,"29A GHIMMOH LINK,#01-01",271029,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.308637956,103.7
845435",,,

421,FAIRPRICE @ 4 BUKIT BATOKST 41,2. Retailer E-bin,4 BUKIT BATOKST 41 #01-91/92,657991,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.356020573,103.7
404712",,,

422,FAIRPRICE @ 476 UPPER SERANGOON VIEW,2. Retailer E-bin,"476 UPPER SERANGOON VIEW,#02-18",530476,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.37712408,103.90
35807",,,

423,FAIRPRICE @ 683 HOUGANG AVE 4,2.Retailer E-bin,"682 HOUGANG AVE4,#01-310",530682,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.374075789,103.8
8556",,,

424,FAIRPRICE @ 745 BEDOK RESEVOIR RD,2.Retailer E-bin,"745 BEDOK RESERVOIR RD, #01-3015",470745,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.337263221,103.9
217256",,,

425,FAIRPRICE @ CORONATION PLAZA,2.Retailer E-bin,"587 BUKIT TIMAH RD #01-01 CORONATION PLAZA, #01-01",269707,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.323931245,103.8
100087",,,

426,FAIRPRICE @ E!HUB,2.Retailer E-bin,"1 PASIR RIS CLOSE, E!HUB DOWNTOWN EAST, #02-127,#02-127",519599,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.375852073,103.9
555587",,,

427,FAIRPRICE @ FAIRPRICE HUB,2.Retailer E-bin,"1 JOO KOON CIRCLE, FAIRPRICEHUB, LEVEL 3",629117,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.326242641,103.6
783529",,,

428,FAIRPRICE @ FUNAN MALL,2. Retailer E-bin,"107 NORTH BRIDGE RD #B1-10 FUNAN MALL, #B1-10",179105,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.291262211,103.8
501909",,,

429,FAIRPRICE @ JEWEL CHANGI AIRPORT,2. Retailer E-bin,"78 AIRPORT BOULEVARD,JEWEL CHANGI AIRPORT, #B2-205 TO 208",819666,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.360020943,103.9
902697",,,

430,FAIRPRICE @ KATONG VILLAGE HOTEL,2.Retailer E-bin,"30 EAST COAST RD,KATONG VILLAGE HOTEL, #01-06/07/08/09",428751,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.304163247,103.9
026906",,,

431,FAIRPRICE @ TEKKA PLACE,2.Retailer E-bin,"2 SERANGOON RD, TEKKA PLACE, #B1-06/07/08/09",218227,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.305148077,103.8
512474",,,

432,FAIRPRICE @ TERMINAL 3,2. Retailer E-bin,"65 AIRPORT BOULEVARD, CHANGI AIRPORT TERMINAL 3, #B2-10",819663,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.355556367,103.9
861908",,,

433,FAIRPRICE @ THE WOODGROVE,2. Retailer E-bin,"30 WOODLANDSAVE1,THEWOODGROVE, #01-11",739065,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.42893395,103.78
11705",,,

434,FAIRPRICE @ TIONG BAHRU PLAZA,2.Retailer E-bin,"302 TIONG BAHRU ROAD,#B1-01",168732,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.286636618,103.8
267054",,,

435,FAIRPRICE @ VALLEY POINT,2.Retailer E-bin,"491 RIVER VALLEY ROAD,VALLEY POINT, #01-14",248371,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.29290624,103.82
70201",,,

436,FAIRPRICE @ WATERWAY POINT,2. Retailer E-bin,"83 PUNGGOL CENTRAL,WATERWAY POINT, #B2-32",828761,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.407000389,103.9
016809",,,

437,GIANT @ 256 BANGKIT ROAD,2. Retailer E-bin,"256 BANGKIT ROAD, #01-69",670256,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.379091351,103.7
728811",,,

438,GIANT @ 260 KIM KEAT AVENUE,2.Retailer E-bin,"260 KIM KEAT AVENUE,#01-01",310260,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.332142224,103.8
575458",,,

439,GIANT @ 284 BUKIT BATOKEAST,2.Retailer E-bin,"284 BUKIT BATOK EAST,#01-251",650284,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.346611571,103.7
57214",,,

440,GIANT @ 293 YISHUN ST 22,2. Retailer E-bin,"293 YISHUN STREET 22, #01-261",760293,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.436249609,103.8
3816",,,

441,GIANT @ 376 BUKIT BATOKST 31,2.Retailer E-bin,"376 BUKIT BATOKST 31,#01-116",650376,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.358622263,103.7
492076",,,

442,GIANT @ 418 YISHUN AVENUE11,2.Retailer E-bin,"418 YISHUN AVENUE11, #01-433",760418,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.425001827,103.8
474529",,,

443,GIANT @ 440 PASIR RIS DRIVE,2. Retailer E-bin,"440 PASIR RISDRIVE 4, #01-01",510440,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.368730465,103.9
586664",,,

444,GIANT @ 525 ANG MO KIO AVE 10,2.Retailer E-bin,"525 ANG MO KIO AVE 10, #01-2401",560525,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.372788319,103.8
538846",,,

445,GIANT @ 622DPUNGGOL CENTRAL,2.Retailer E-bin,"622D PUNGGOL CENTRAL,#01-06",824622,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.400605131,103.9
103851",,,

446,GIANT @ 982 BUANGKOK CRESCENT,2.Retailer E-bin,"982 BUANGKOK CRESCENT, #01-01",530982,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.380778532,103.8
792557",,,

447,GIANT @ ADMIRALTY MRT,2. Retailer E-bin,"70 WOODLANDSAVE7,#01-05",738344,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.44060812,103.80
07516",,,

448,GIANT @ BEAUTY WORLD CENTRE,2.Retailer E-bin,"144 UPPER BUKIT TIMAH ROAD,#B1-01",588177,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.342277611,103.7
761671",,,

449,GIANT @ GREENRIDGE SHOPPING CENTRE,2. Retailer E-bin,"524A JELAPANG ROAD,#03-13",671524,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.38569516,103.76
63566",,,

450,GIANT @ HDB BISHAN BRANCH OFFICE,2. Retailer E-bin,"512 BISHAN STREET 13,#01-524",570512,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.349676299,103.8
49931",,,

451,GIANT @ JK CENTRE,2. Retailer E-bin,"291 JOO CHIAT RD, #01-01",427543,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.309887362,103.9
021477",,,

452,GIANT @ KAMPUNG UBI,2. Retailer E-bin,"306 UBIAVE 1, KAMPUNG UBI,#01-85",400306,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.329870008,103.9
019098",,,

453,GIANT @ KHATIB MRT,2. Retailer E-bin,"201 YISHUN AVE 2, #01-03",618640,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.416836161,103.8
328407",,,

454,GIANT @ NEXT TO SERANGOON MARKET,2.Retailer E-bin,"266 SERANGOON CENTRAL DRIVE, #01-255",550266,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.352919607,103.8
714166",,,

455,GIANT @ NTU CANTEEN 2,2. Retailer E-bin,"35 STUDENTS WALK, #01-01",639548,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.348286468,103.6
856938",,,

456,GIANT @ SUNSHINE PLACE,2.Retailer E-bin,"475 CHOA CHU KANG AVE3,#01-01",680475,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.378097973,103.7
388206",,,

457,GIANT @ TAMPINESMART,2. Retailer E-bin,"9 TAMPINES STREET 32,#01-16",529286,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.354423263,103.9
600167",,,


458,GIANT @ VISTA POINT,2.Retailer E-bin,"548 WOODLANDSDRIVE 44,#01-37",730548,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.430839566,103.7
940357",,,

459,GIANT @ WATERWAY BANKS,2.Retailer E-bin,671 EDGEFIELD PLAINS,820671,,E-wasteaccepted: Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.405499892,103.9
12044",,,

460,BEST DENKI@ BEDOK MALL,2. Retailer E-bin,"311 NEWUPPER CHANGIROAD,BEDOK MALL, #B1-01/43/44,BASEMENT 1 MAIN ENTRANCE",467360,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.324772074,103.9
292677",,,

461,BEST DENKI@ FUNAN,2.Retailer E-bin,"109 NORTH BRIDGE ROAD,FUNAN, #03-16,IN-STORE",179097,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.291347597,103.8
499898",,,

462,BEST DENKI@ GREAT WORLD CITY,2.Retailer E-bin,"1 KIM SENG PROMENADE,GREAT WORLD CITY, #07-01",237994,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.293802351,103.8
317579",,,

463,BEST DENKI@ HILLION MALL,2.Retailer E-bin,"17 PETIR ROAD,HILLION MALL, #B1-65, BASEMENT 1",678278,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.378389221,103.7
631502",,,

464,BEST DENKI@ IMM,2.Retailer E-bin,"2 JURONG EAST STREET 21, IMM,#03-33, IN-STORE",609601,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.334917588,103.7
468771",,,

465,BEST DENKI@ JUNCTION 8 SHOPPING CENTRE,2.Retailer E-bin,"9 BISHAN PLACE, JUNCTION 8 SHOPPING CENTRE, #03-02, IN-STORE",579837,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.350239431,103.8
484776",,,

466,BEST DENKI@ JURONG POINT,2. Retailer E-bin,"63 JURONG WEST CENTRAL 3,JURONG POINT, #B1-92, IN-STORE",648331,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.33936403,103.70
53082",,,

467,BEST DENKI@ NGEE ANNCITY TOWER A,2. Retailer E-bin,"391A ORCHARD ROAD,NGEE ANN CITY TOWER A,LEVEL 5",238873,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.302424172,103.8
346761",,,

468,BEST DENKI@ PARKWAY PARADE,2. Retailer E-bin,"80 MARINEPARADE ROAD,PARKWAY PARADE,#03-29, IN-STORE",449269,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.30126068,103.90
53395",,,

469,BEST DENKI@ PLAZASINGAPURA,2.Retailer E-bin,"68 ORCHARD ROAD,PLAZASINGAPURA, #03-39, BESIDE CASHIER COUNTER",238839,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.30083413,103.84
50727",,,

470,BEST DENKI@ THECLEMENTI MALL,2.Retailer E-bin,"3155 COMMONWEALTH AVENUEWEST,THE CLEMENTIMALL,#04-46/47/48/49,IN-STORE",129588,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.315553543,103.7
645964",,,

